NAME_OF_DISTRICT_COUNCIL_DISTRICT_EN,LOCATION_EN,ADDRESS_EN,NAME_OF_DISTRICT_COUNCIL_DISTRICT_TC,LOCATION_TC,ADDRESS_TC,NAME_OF_DISTRICT_COUNCIL_DISTRICT_SC,LOCATION_SC,ADDRESS_SC,STANDARD_BS1363_no,MEDIUM_IEC62196_no,MEDIUM_SAEJ1772_no,MEDIUM_OTHERS_no,QUICK_CHAdeMO_no,QUICK_CCS_DC_COMBO_no,QUICK_IEC62196_no,QUICK_GB_T20234_3_DC__no,QUICK_OTHERS_no,REMARK_FOR__OTHERS_,DATA_PATH,GeometryLongitude,GeometryLatitude
Central & Western,The Peak Galleria,"118 Peak Rd, The Peak",中西區,山頂廣場,山頂道118號,中西区,山顶广场,山顶道118号,0,3,0,0,0,0,0,0,2,Tesla Wall Connector,-,114.14943900000003,22.270535000000052
Central & Western,The Centrium,"60 Wyndham Street, Central",中西區,中央廣場,中環雲咸街60號,中西区,中央广场,中环云咸街60号,2,2,0,0,0,0,0,0,0,-,-,114.15465200000006,22.28061900000006
Central & Western,Three Garden Road Carpark,GARDEN ROAD,中西區,花園道三號停車場,花園道,中西区,花园道三号停车场,花园道,3,20,0,2,0,0,0,0,0,-,-,114.16126200000008,22.278653000000077
Central & Western,NEW WORLD TOWER,"QUEEN'S ROAD CENTRAL, CENTRAL & WESTERN",中西區,新世界大廈,中西區 皇后大道中,中西区,新世界大厦,中西区 皇后大道中,1,0,0,0,0,0,0,0,0,-,-,114.15693400000009,22.280323000000067
Central & Western,Star Ferry Car Park,"9 Edinburgh Place, Central, Hong Kong",中西區,天星停車場,香港中環愛丁堡廣場9號,中西区,天星停车场,香港中环爱丁堡广场9号,0,35,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.16044000000011,22.282755000000066
Central & Western,City Hall Car Park,"1 Edinburgh Place, Central, Hong Kong",中西區,大會堂停車場,香港中環愛丁堡廣場1號,中西区,大会堂停车场,香港中环爱丁堡广场1号,0,30,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.16214000000002,22.281911000000036
Central & Western,Rumsey Street Car Park,"2 Rumsey Street, Sheung Wan, Hong Kong",中西區,林士街停車場,香港上環林士街2號,中西区,林士街停车场,香港上环林士街2号,0,110,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.15322700000002,22.287408000000028
Central & Western,Queensway Government Offices,"No. 66 Queensway, Hong kong",中西區,金鐘道政府合署,香港金鐘道66號,中西区,金钟道政府合署,香港金钟道66号,0,48,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.16388700000005,22.277721000000042
Central & Western,One International Finance Centre,"1 Harbour View St, Central",中西區,國際金融中心一期,中環港景街1號,中西区,国际金融中心一期,中环港景街1号,0,1,0,0,0,0,0,0,0,-,-,114.15700000000004,22.285454000000072
Central & Western,TWO IFC (International Finance Centre) - IFC II,"FINANCE STREET, CENTRAL & WESTERN",中西區,國際金融中心二期,中西區 金融街,中西区,国际金融中心二期,中西区 金融街,0,0,0,0,3,3,20,0,3,-,-,114.1577390000001,22.285874000000035
